MachineKey,DateKey,AlarmSeverityKey,MTTR_Conservador,MTTR_Amplo,MTBF_Conservador,MTBF_Amplo
1,20180102,1,8722.2,8722.2,,0.0
1,20180102,1,,0.0,,0.06666666666666667
1,20180102,1,,0.06666666666666667,,1.9833333333333334
1,20180102,1,,1.9833333333333334,,0.05
1,20180102,1,,0.05,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.26666666666666666
1,20180102,1,,0.26666666666666666,,0.18333333333333332
1,20180102,1,,0.18333333333333332,,0.5833333333333334
1,20180102,1,,0.5833333333333334,,0.18333333333333332
1,20180102,1,,0.18333333333333332,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.0
1,20180102,1,,0.0,,0.05
1,20180102,1,,0.05,,0.2833333333333333
1,20180102,1,,0.2833333333333333,,0.13333333333333333
1,20180102,1,,0.13333333333333333,,1.0166666666666666
1,20180102,1,,1.0166666666666666,,0.11666666666666667
1,20180102,1,,0.11666666666666667,,0.13333333333333333
1,20180102,1,,0.13333333333333333,,0.08333333333333333
1,20180102,1,,0.08333333333333333,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.13333333333333333
1,20180102,1,,0.13333333333333333,,0.6166666666666667
1,20180102,1,,0.6166666666666667,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.0
1,20180102,1,,0.0,,0.2833333333333333
1,20180102,1,,0.2833333333333333,,0.11666666666666667
1,20180102,1,,0.11666666666666667,,0.8166666666666667
1,20180102,1,,0.8166666666666667,,0.05
1,20180102,1,,0.05,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.08333333333333333
1,20180102,1,,0.08333333333333333,,0.06666666666666667
1,20180102,1,,0.06666666666666667,,0.05
1,20180102,1,,0.05,,0.016666666666666666
1,20180102,1,,0.016666666666666666,,0.23333333333333334
1,20180102,1,,0.23333333333333334,,0.0
1,20180102,1,,0.0,,0.13333333333333333
1,20180102,1,,0.13333333333333333,,0.03333333333333333
1,20180102,1,,0.03333333333333333,,0.06666666666666667
1,20180102,1,,0.06666666666666667,,7.766666666666667
1,20180102,1,,7.766666666666667,,6.283333333333333
1,20180103,1,,6.283333333333333,,0.2
1,20180103,1,,0.2,,0.05
1,20180103,1,,0.05,,0.03333333333333333
1,20180103,1,,0.03333333333333333,,5.616666666666666
1,20180103,1,,5.616666666666666,,0.0
1,20180103,1,,0.0,,0.16666666666666666
1,20180103,1,,0.16666666666666666,,0.1
1,20180103,1,,0.1,,0.7
1,20180103,1,,0.7,,0.5166666666666667
1,20180103,1,,0.5166666666666667,,0.5666666666666667
1,20180103,1,,0.5666666666666667,,2.783333333333333
1,20180103,1,,2.783333333333333,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.45
1,20180103,1,,0.45,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.0
1,20180103,1,,0.0,,0.11666666666666667
1,20180103,1,,0.11666666666666667,,0.0
1,20180103,1,,0.0,,5.933333333333334
1,20180103,1,,5.933333333333334,,0.06666666666666667
1,20180103,1,,0.06666666666666667,,0.7166666666666667
1,20180103,1,,0.7166666666666667,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.11666666666666667
1,20180103,1,,0.11666666666666667,,0.35
1,20180103,1,,0.35,,0.1
1,20180103,1,,0.1,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.0
1,20180103,1,,0.0,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.6666666666666666
1,20180103,1,,0.6666666666666666,,0.1
1,20180103,1,,0.1,,0.0
1,20180103,1,,0.0,,0.016666666666666666
1,20180103,1,,0.016666666666666666,,0.08333333333333333
1,20180103,1,,0.08333333333333333,,6.966666666666667
1,20180104,1,,6.966666666666667,,0.06666666666666667
1,20180104,1,,0.06666666666666667,0.0,0.0
1,20180104,1,5.216666666666667,5.216666666666667,,0.05
1,20180104,1,,0.05,,5.833333333333333
1,20180104,1,,5.833333333333333,,0.016666666666666666
1,20180104,1,,0.016666666666666666,,0.06666666666666667
1,20180104,1,,0.06666666666666667,,0.4666666666666667
1,20180104,1,,0.4666666666666667,,0.016666666666666666
1,20180104,1,,0.016666666666666666,,0.08333333333333333
1,20180104,1,,0.08333333333333333,,0.016666666666666666
1,20180104,1,,0.016666666666666666,,0.03333333333333333
1,20180104,1,,0.03333333333333333,,0.05
1,20180104,1,,0.05,,0.0
